"Account","Flag","Check Number","Date","Payee","Category","Master Category","Sub Category","Memo","Outflow","Inflow","Cleared","Running Balance"
"Shared Account",,,07/11/2012,"MTA MVM 42ND ST-GRAQPS","Transport: Subway","Transport","Subway","DBT CRD 1909 07/10/12 00015140",$10.00,$0.00,R,$6606.67
"Shared Account",,,07/11/2012,"METRO-NORTH TVM    QPS","Transport: Train","Transport","Train","DBT CRD 1909 07/10/12 00015139",$16.25,$0.00,R,$6590.42
"Shared Account",,,07/13/2012,"BEAN & BEAN","Joy: Treats","Joy","Treats","DBT CRD 1909 07/12/12 00019757",$3.54,$0.00,R,$6586.88
"Shared Account",,,07/16/2012,"MTA MVM NOSTRAND AVQPS","Transport: Subway","Transport","Subway","DBT CRD 1943 07/15/12 00017722",$29.00,$0.00,R,$6557.88
"Shared Account",,,07/16/2012,"TRIPLE S MARKET","Food: Groceries","Food","Groceries","DBT CRD 1914 07/13/12 00013361",$63.29,$0.00,R,$6494.59
"Shared Account",,0000000892,07/17/2012,"Returned Deposited Item Fee","The Man: Fees","The Man","Fees",,$10.00,$0.00,R,$6484.59
"Shared Account",,,07/17/2012,"DEBIT  INTELL CK","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses","CON ED OF NY      120716  PPD",$24.94,$0.00,R,$6459.65
"Shared Account",,0000000892,07/17/2012,"Return Check Chargeback/SERIAL","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses","Buddy's bounced check",$586.17,$0.00,R,$5873.48
"Shared Account",,,07/18/2012,"Giant Food and","Food: Groceries","Food","Groceries","POS DEB 1711 07/17/12 00926988",$19.99,$0.00,R,$5853.49
"Shared Account",,,07/18/2012,"DEBIT  CHK ORDERS","The Man: Fees","The Man","Fees","HARLAND CLARKE    071412  PPD",$28.79,$0.00,R,$5824.70
"Shared Account",,,07/19/2012,"TRIPLE S MARKET","Food: Groceries","Food","Groceries","DBT CRD 1908 07/18/12 00030506",$12.47,$0.00,R,$5812.23
"Shared Account",,,07/23/2012,"CIAO BELLA CAFE GRAND","Joy: Treats","Joy","Treats","DBT CRD 0355 07/23/12 00010110",$6.53,$0.00,R,$5805.70
"Shared Account",,,07/23/2012,"METRO-NORTH TVM    QPS","Transport: Train","Transport","Train","DBT CRD 2243 07/22/12 00027747",$11.25,$0.00,R,$5794.45
"Shared Account",,,07/23/2012,"METRO-NORTH TVM    QPS","Transport: Train","Transport","Train","DBT CRD 2243 07/22/12 00027746",$33.75,$0.00,R,$5760.70
"Shared Account",,,07/23/2012,"LOLA K OFF UPTOWN INC","Stuff: Clothing","Stuff","Clothing","DBT CRD 0355 07/23/12 00010272",$38.00,$0.00,R,$5722.70
"Shared Account",,1220500293,07/23/2012,"Bill paid-CABLEVISION","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses",,$44.90,$0.00,R,$5677.80
"Shared Account",,,07/23/2012,"NAMS GREEN FRUI","Food: Groceries","Food","Groceries","POS DEB 1932 07/21/12 00814467",$62.11,$0.00,R,$5615.69
"Shared Account",,,07/24/2012,"METRO-NORTH TVM    QPS","Transport: Train","Transport","Train","DBT CRD 1909 07/23/12 00022593",$32.50,$0.00,R,$5583.19
"Shared Account",,0724120154,07/24/2012,"Transf to CHECKING","Joy: Wedding","Joy","Wedding","Housing Deposits",$3000.00,$0.00,R,$2583.19
"Shared Account",,,07/25/2012,"KEY FOODS #1370","Food: Groceries","Food","Groceries","POS DEB 1959 07/24/12 00302190",$43.83,$0.00,R,$2539.36
"Shared Account",,,07/27/2012,"GOODWILL IND #103","Stuff: Clothing","Stuff","Clothing","DBT CRD 0400 07/27/12 00029041",$48.73,$0.00,R,$2490.63
"Shared Account",,,07/31/2012,"URBAN TASTE","Food: Lazy Restaurants","Food","Lazy Restaurants","DBT CRD 0355 07/31/12 00029776",$14.64,$0.00,R,$2475.99
"Shared Account",,0000000205,08/01/2012,"Check  205","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses",,$564.61,$0.00,R,$1911.38
"Shared Account",,,08/02/2012,"WWW.ASOS.COM","Stuff: Clothing","Stuff","Clothing","DBT CRD 0350 08/02/12 00014894",$29.00,$0.00,R,$1882.38
"Shared Account",,,08/02/2012,"WWW.ASOS.COM","Stuff: Clothing","Stuff","Clothing","DBT CRD 0351 08/02/12 00014895",$92.79,$0.00,R,$1789.59
"Shared Account",,,08/03/2012,"ETSY.COM","Joy: Wedding","Joy","Wedding","DBT CRD 0401 08/03/12 00009065",$62.95,$0.00,R,$1726.64
"Shared Account",,,08/06/2012,"BEAN AND BEAN","Joy: Treats","Joy","Treats","DBT CRD 0356 08/04/12 00029545",$10.12,$0.00,R,$1716.52
"Shared Account",,,08/06/2012,"URBAN TASTE","Food: Lazy Restaurants","Food","Lazy Restaurants","DBT CRD 0356 08/04/12 00029546",$19.97,$0.00,R,$1696.55
"Shared Account",,,08/07/2012,"RICKSHAW DUMPLING BAR","Food: Lazy Restaurants","Food","Lazy Restaurants","DBT CRD 0834 08/07/12 00032085",$9.75,$0.00,R,$1686.80
"Shared Account",,,08/07/2012,"Giant Food and","Food: Groceries","Food","Groceries","POS DEB 0027 08/07/12 00061120",$38.34,$0.00,R,$1648.46
"Shared Account",,,08/09/2012,"T MOBILE 8885","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services","POS DEB 1823 08/08/12 00873818",$32.66,$0.00,R,$1615.80
"Shared Account",,0000500012,08/09/2012,"e-Pay Check  500012","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses","Payee: NATIONAL GRID",$53.96,$0.00,R,$1561.84
"Shared Account",,,08/10/2012,"KEY FOODS #1370","Food: Groceries","Food","Groceries","POS DEB 1011 08/10/12 00604803",$34.63,$0.00,R,$1527.21
"Shared Account",,,08/13/2012,"PICK A BAGEL ON 3RD","Food: Lazy Restaurants","Food","Lazy Restaurants","DBT CRD 0350 08/13/12 00010106",$11.55,$0.00,R,$1515.66
"Shared Account",,,08/13/2012,"UPS STORE 3411","Joy: Wedding","Joy","Wedding","DBT CRD 1937 08/12/12 00021063",$17.18,$0.00,R,$1498.48
"Shared Account",,,08/13/2012,"USPS 3596280028","Joy: Wedding","Joy","Wedding","POS DEB 1710 08/11/12 00001044",$20.05,$0.00,R,$1478.43
"Shared Account",,,08/13/2012,"MAZON STORES","Stuff: Furniture & Equip","Stuff","Furniture & Equip","POS DEB 1304 08/12/12 00579028",$23.99,$0.00,R,$1454.44
"Shared Account",,,08/13/2012,"BLACK BEAR","Joy: Treats","Joy","Treats","DBT CRD 0350 08/13/12 00010107",$26.13,$0.00,R,$1428.31
"Shared Account",,,08/13/2012,"USPS 3596280028","Joy: Wedding","Joy","Wedding","POS DEB 1711 08/11/12 00001045",$27.00,$0.00,R,$1401.31
"Shared Account",,,08/13/2012,"KEY FOODS #1370","Food: Groceries","Food","Groceries","POS DEB 1238 08/12/12 00101581",$45.81,$0.00,R,$1355.50
"Shared Account",,,08/14/2012,"ETSY.COM","Joy: Wedding","Joy","Wedding","DBT CRD 2239 08/13/12 00026410",$60.00,$0.00,R,$1295.50
"Shared Account",,,08/15/2012,"ARTHUR`S INVITATION","Joy: Wedding","Joy","Wedding","DBT CRD 0355 08/15/12 00020838",$13.61,$0.00,R,$1281.89
"Shared Account",,,08/15/2012,"23ANDME INC","Generosity: Christmas Gifts","Generosity","Christmas Gifts","DBT CRD 0355 08/15/12 00020837",$263.95,$0.00,R,$1017.94
"Shared Account",,,08/16/2012,"FOODTOWN #598","Generosity: Serious Family Support","Generosity","Serious Family Support","POS DEB 1712 08/15/12 00602763",$13.48,$0.00,R,$1004.46
"Shared Account",,,08/16/2012,"DRUG WORLD OF AMEN","Generosity: Serious Family Support","Generosity","Serious Family Support","DBT CRD 2239 08/15/12 00009519",$22.33,$0.00,R,$982.13
"Shared Account",,,08/16/2012,"NST METRO-NORTH","Transport: Train","Transport","Train","POS DEB 1439 08/15/12 00005949",$32.50,$0.00,R,$949.63
"Shared Account",,,08/16/2012,"GREEN SYMPHONY","Food: Lazy Restaurants","Food","Lazy Restaurants","DBT CRD 1905 08/15/12 00028715",$33.79,$0.00,R,$915.84
"Shared Account",,,08/20/2012,"ELI ZABAR'S FARM T","Food: Lazy Restaurants","Food","Lazy Restaurants","DBT CRD 1938 08/19/12 00020558",$8.02,$0.00,R,$907.82
"Shared Account",,,08/20/2012,"SHARON PHARMACY INC","House & Upkeep: Pharmacy","House & Upkeep","Pharmacy","DBT CRD 1938 08/19/12 00020559",$11.40,$0.00,R,$896.42
"Shared Account",,,08/20/2012,"NST METRO-NORTH","Transport: Train","Transport","Train","POS DEB 1315 08/18/12 00007497",$16.25,$0.00,R,$880.17
"Shared Account",,,08/20/2012,"USPS 0868680169","Joy: Wedding","Joy","Wedding","POS DEB 0950 08/18/12 00000902",$18.00,$0.00,R,$862.17
"Shared Account",,,08/20/2012,"USPS 3508940306","Joy: Wedding","Joy","Wedding","POS DEB 1016 08/20/12 00003502",$18.00,$0.00,R,$844.17
"Shared Account",,,08/20/2012,"LANDMARK VINTAGE BICYC","Transport: Bicycle","Transport","Bicycle","DBT CRD 0355 08/20/12 00010303",$81.66,$0.00,R,$762.51
"Shared Account",,,08/22/2012,"KEY FOODS #1370","Food: Groceries","Food","Groceries","POS DEB 1733 08/21/12 00303674",$80.31,$0.00,R,$682.20
"Shared Account",,0827120254,08/27/2012,"Transfer : Checking Account",,,,,$0.00,$1000.00,R,$1682.20
"Shared Account",,,08/27/2012,"BEAN AND BEAN","Joy: Treats","Joy","Treats","DBT CRD 0355 08/25/12 00026170",$6.97,$0.00,R,$1675.23
"Shared Account",,,08/27/2012,"MASATO","Food: Lazy Restaurants","Food","Lazy Restaurants","DBT CRD 1938 08/26/12 00022602",$8.17,$0.00,R,$1667.06
"Shared Account",,,08/27/2012,"CHUN`S DRY CLEANERS","Joy: Wedding","Joy","Wedding","DBT CRD 0356 08/27/12 00010084",$125.00,$0.00,R,$1542.06
"Shared Account",,0828120113,08/28/2012,"Transfer : Checking Account",,,,,$0.00,$1000.00,R,$2542.06
"Shared Account",,0828120115,08/28/2012,"Transf to CHECKING","Joy: Wedding","Joy","Wedding","Briscoe house rental",$500.00,$0.00,R,$2042.06
"Shared Account",,,08/30/2012,"USPS 0868680169","Joy: Wedding","Joy","Wedding","POS DEB 1529 08/29/12 00000932",$9.45,$0.00,R,$2032.61
"Shared Account",,,08/30/2012,"FOODTOWN #598","Food: Groceries","Food","Groceries","POS DEB 0829 08/30/12 00739457",$24.44,$0.00,R,$2008.17
"Shared Account",,,08/30/2012,"SHEAR ILLUSIONS, LLC","Joy: Hers","Joy","Hers","Haircut",$48.00,$0.00,R,$1960.17
"Shared Account",,,08/31/2012,"SHARON FARM MAR","Food: Groceries","Food","Groceries","POS DEB 1601 08/30/12 00501956",$14.17,$0.00,R,$1946.00
"Shared Account",,,09/04/2012,"LINDA BARILLI","Joy: Wedding","Joy","Wedding","DBT CRD 1911 08/31/12 00013348",$10.00,$0.00,R,$1936.00
"Shared Account",,,09/04/2012,"SHARON FARM MAR","Food: Groceries","Food","Groceries","POS DEB 1853 09/01/12 00702895",$15.09,$0.00,R,$1920.91
"Shared Account",,,09/04/2012,"SHARON PHARMACY INC","House & Upkeep: Pharmacy","House & Upkeep","Pharmacy","DBT CRD 0356 09/01/12 00021582",$15.61,$0.00,R,$1905.30
"Shared Account",,,09/04/2012,"SHARON FARM MAR","Food: Groceries","Food","Groceries","POS DEB 0957 09/02/12 00103016",$49.23,$0.00,R,$1856.07
"Shared Account",,,09/04/2012,"SHELL Service S","Transport: Gasoline","Transport","Gasoline","POS DEB 1511 09/01/12 00726833",$65.01,$0.00,R,$1791.06
"Shared Account",,,09/04/2012,"EVENT INSURANCE","Joy: Wedding","Joy","Wedding","DBT CRD 0835 09/04/12 00014693",$131.99,$0.00,R,$1659.07
"Shared Account",,,09/04/2012,"BARRINGTON BREWERY & R","Joy: Wedding","Joy","Wedding","DBT CRD 1905 09/03/12 00031086",$190.00,$0.00,R,$1469.07
"Shared Account",,,09/04/2012,"AVERILL FARM","Joy: Wedding","Joy","Wedding","POS DEB 1638 09/01/12 00371034",$290.69,$0.00,R,$1178.38
"Shared Account",,,09/05/2012,"DDA Deposit","Joy: Wedding","Joy","Wedding","Wedding gifts",$0.00,$3335.00,R,$4513.38
"Shared Account",,,09/07/2012,"Collection-Domestic/Int'l Fee","The Man: Fees","The Man","Fees","Canadian Collection Item",$25.00,$0.00,R,$4488.38
"Shared Account",,,09/07/2012,"REVERSAL OF IMMEDIATE CREDIT","Joy: Wedding","Joy","Wedding","CANADIAN COLLECTION ITEM",$40.00,$0.00,R,$4448.38
"Shared Account",,,09/10/2012,"BEAN AND BEAN","Joy: Treats","Joy","Treats","DBT CRD 0401 09/08/12 00012112",$4.95,$0.00,R,$4443.43
"Shared Account",,,09/10/2012,"GREENE HILL FOO","Food: Groceries","Food","Groceries","POS DEB 1307 09/08/12 00485769",$46.03,$0.00,R,$4397.40
"Shared Account",,,09/11/2012,"STAPLES       00117986","Stuff: Other","Stuff","Other","DBT CRD 0837 09/11/12 00012371",$16.39,$0.00,R,$4381.01
"Shared Account",,,09/12/2012,"KEY FOODS #1370","Food: Groceries","Food","Groceries","POS DEB 1542 09/11/12 00304881",$55.39,$0.00,R,$4325.62
"Shared Account",,,09/13/2012,"DDA Deposit","Joy: Wedding","Joy","Wedding","wedding gifts",$0.00,$655.00,R,$4980.62
"Shared Account",,,09/14/2012,"AROME DELI II","Food: Lazy Restaurants","Food","Lazy Restaurants","DBT CRD 0358 09/14/12 00026692",$15.51,$0.00,R,$4965.11
"Shared Account",,,09/17/2012,"CREDIT 1936 09/16/12 00018219","Generosity: Charity","Generosity","Charity","NEXTDAY FLYERS",$0.00,$1324.61,R,$6289.72
"Shared Account",,,09/17/2012,"Misc DDA Credit","Joy: Wedding","Joy","Wedding",,$0.00,$40.00,R,$6329.72
"Shared Account",,,09/17/2012,"Misc DDA Credit","Joy: Wedding","Joy","Wedding",,$0.00,$0.77,R,$6330.49
"Shared Account",,,09/17/2012,"VESTA  *T-MOBILE","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services","DBT CRD 1936 09/16/12 00018218",$32.66,$0.00,R,$6297.83
"Shared Account",,,09/17/2012,"FIRST PRINCE COPY CTR","Generosity: Charity","Generosity","Charity","DBT CRD 2242 09/16/12 00029755",$487.50,$0.00,R,$5810.33
"Shared Account",,,09/17/2012,"NEXTDAY FLYERS","Generosity: Charity","Generosity","Charity","DBT CRD 1908 09/14/12 00012107",$1324.61,$0.00,R,$4485.72
"Shared Account",,,09/18/2012,"AROME DELI II","Joy: Treats","Joy","Treats","DBT CRD 0358 09/18/12 00031036",$9.80,$0.00,R,$4475.92
"Shared Account",,,09/19/2012,"AROME DELI II","Joy: Treats","Joy","Treats","DBT CRD 0358 09/19/12 00021541",$10.95,$0.00,R,$4464.97
"Shared Account",,,09/19/2012,"FIRST PRINCE COPY CTR","Generosity: Charity","Generosity","Charity","DBT CRD 1908 09/18/12 00015446",$487.50,$0.00,R,$3977.47
"Shared Account",,,09/24/2012,"PRET A MANGER #022","Joy: Treats","Joy","Treats","DBT CRD 0358 09/22/12 00018290",$9.78,$0.00,R,$3967.69
"Shared Account",,,09/24/2012,"KEY FOODS #1370","Food: Groceries","Food","Groceries","POS DEB 1822 09/23/12 00103315",$39.05,$0.00,R,$3928.64
"Shared Account",,,09/24/2012,"GREENE HILL FOO","Food: Groceries","Food","Groceries","POS DEB 1700 09/22/12 00368051",$113.54,$0.00,R,$3815.10
"Shared Account",,,09/24/2012,"SALISBURY FRAMING","Joy: Wedding","Joy","Wedding","DBT CRD 1936 09/23/12 00016679",$365.84,$0.00,R,$3449.26
"Shared Account",,,09/26/2012,"60 BROAD ST AUBONPAIN","Food: Lazy Restaurants","Food","Lazy Restaurants","DBT CRD 1906 09/25/12 00014913",$10.65,$0.00,R,$3438.61
"Shared Account",,,09/26/2012,"KEY FOODS #1370","Food: Groceries","Food","Groceries","POS DEB 1933 09/25/12 00303485",$42.00,$0.00,R,$3396.61
"Shared Account",,,09/26/2012,"STOR-IT-ALL CANAAN","Generosity: Serious Family Support","Generosity","Serious Family Support","DBT CRD 2240 09/25/12 00018985",$79.76,$0.00,R,$3316.85
"Shared Account",,,09/26/2012,"GOODWILL IND #110","Stuff: Clothing","Stuff","Clothing","DBT CRD 0356 09/26/12 00021338",$81.30,$0.00,R,$3235.55
"Shared Account",,,09/27/2012,"KEY FOODS #1370","Food: Groceries","Food","Groceries","POS DEB 1950 09/26/12 00404949",$14.96,$0.00,R,$3220.59
"Shared Account",,,09/27/2012,"ALL-STAR DRIVER LLC","Generosity: Serious Family Support","Generosity","Serious Family Support","DBT CRD 0351 09/27/12 00011586",$570.00,$0.00,R,$2650.59
"Shared Account",,1227200136,09/28/2012,"Transfer : Linnea's Student Debt","The Man: Student Debt","The Man","Student Debt",,$920.00,$0.00,R,$1730.59
"Shared Account",,,10/01/2012,"ARGO TEA UNIVERSITY","Joy: Treats","Joy","Treats","DBT CRD 1939 09/30/12 00015158",$3.21,$0.00,R,$1727.38
"Shared Account",,,10/01/2012,"'SNICE","Joy: Treats","Joy","Treats","DBT CRD 1939 09/30/12 00015157",$12.75,$0.00,R,$1714.63
"Shared Account",,0000000207,10/01/2012,"Check  207","Joy: Wedding","Joy","Wedding","Catering",$1117.15,$0.00,R,$597.48
"Shared Account",,,10/02/2012,"THINK COFFEE","Joy: Treats","Joy","Treats","DBT CRD 2241 10/01/12 00027440",$10.89,$0.00,R,$586.59
"Shared Account",,,10/03/2012,"THE CAKE SHOP","Joy: Treats","Joy","Treats","DBT CRD 2241 10/02/12 00019251",$12.50,$0.00,R,$574.09
"Shared Account",,,10/03/2012,"MTA MVM W 4TH ST - QPS","Transport: Subway","Transport","Subway","DBT CRD 1911 10/02/12 00015432",$20.00,$0.00,R,$554.09
"Shared Account",,,10/05/2012,"DDA Deposit","Joy: Wedding","Joy","Wedding","(Split 1/2) wedding gift",$0.00,$350.00,R,$3572.31
"Shared Account",,,10/05/2012,"DDA Deposit","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses","(Split 2/2) ",$0.00,$2668.22,R,$3572.31
"Shared Account",,,10/05/2012,"PEPE VERDE TOGO","Food: Fancy Restaurant","Food","Fancy Restaurant","DBT CRD 1911 10/04/12 00019797",$16.22,$0.00,R,$3556.09
"Shared Account",,,10/05/2012,"FOODTOWN #598","Generosity: Serious Family Support","Generosity","Serious Family Support","POS DEB 1226 10/05/12 00607365",$166.44,$0.00,R,$3389.65
"Shared Account",,,10/09/2012,"USPS 0868680169","Generosity: Serious Family Support","Generosity","Serious Family Support","POS DEB 1039 10/06/12 00001053",$7.77,$0.00,R,$3381.88
"Shared Account",,,10/09/2012,"SHARON FARM MAR","Food: Groceries","Food","Groceries","POS DEB 1455 10/05/12 00603807",$35.34,$0.00,R,$3346.54
"Shared Account",,,10/09/2012,"SHELL Service S","Transport: Gasoline","Transport","Gasoline","POS DEB 1054 10/06/12 00668342",$78.62,$0.00,R,$3267.92
"Shared Account",,,10/11/2012,"MAZON STORES","Stuff: Furniture & Equip","Stuff","Furniture & Equip","POS DEB 1811 10/10/12 00973131",$20.64,$0.00,R,$3247.28
"Shared Account",,,10/12/2012,"AAVC ONLINE","Joy: Hers","Joy","Hers","DBT CRD 1910 10/11/12 00010324",$10.00,$0.00,R,$3237.28
"Shared Account",,,10/12/2012,"MANHATTAN CHILI CO","Food: Lazy Restaurants","Food","Lazy Restaurants",,$22.21,$0.00,R,$3215.07
"Shared Account",,,10/13/2012,"SHARON FARM MAR","Food: Groceries","Food","Groceries",,$56.95,$0.00,R,$3158.12
"Shared Account",,,10/14/2012,"Manual Balance Adjustment","Income: Available this month","Income","Available this month","Entered automatically by YNAB",$117.17,$0.00,R,$3040.95
"Shared Account",,,10/16/2012,"UNITED","Joy: Vacation","Joy","Vacation","DBT CRD 0352 10/16/12 00029733",$5.00,$0.00,C,$3035.95
"Shared Account",,,10/17/2012,"CHIPOTLE 0797","Food: Lazy Restaurants","Food","Lazy Restaurants","DBT CRD 0352 10/17/12 00022070",$12.00,$0.00,C,$3023.95
"Shared Account",,,10/17/2012,"UNITED","Joy: Vacation","Joy","Vacation","DBT CRD 0352 10/17/12 00022069",$25.00,$0.00,C,$2998.95
"Shared Account",,,10/17/2012,"UNITED","Joy: Vacation","Joy","Vacation","DBT CRD 0352 10/17/12 00022068",$250.00,$0.00,C,$2748.95
"Shared Account",,,10/17/2012,"UNITED","Joy: Vacation","Joy","Vacation","DBT CRD 0352 10/17/12 00022067",$338.87,$0.00,C,$2410.08
"Shared Account",,,10/18/2012,"GOODWILL IND #110","Stuff: Clothing","Stuff","Clothing","DBT CRD 0352 10/18/12 00013159",$60.57,$0.00,C,$2349.51
"Shared Account",,,10/22/2012,"ALICE`S ARBOR","Food: Fancy Restaurant","Food","Fancy Restaurant","DBT CRD 0353 10/22/12 00011621",$47.36,$0.00,C,$2302.15
"Shared Account",,,10/23/2012,"GREENE HILL FOO","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses","POS DEB 1823 10/22/12 00351819",$48.38,$0.00,C,$2253.77
"Shared Account",,,10/25/2012,"SOU MTA VENDING","Transport: Subway","Transport","Subway","POS DEB 1720 10/24/12 00460538",$10.00,$0.00,C,$2243.77
"Shared Account",,,10/26/2012,"KEY FOODS #1370","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses","POS DEB 1606 10/25/12 00503751",$30.39,$0.00,C,$2213.38
"Shared Account",,,10/29/2012,"SOU MTA VENDING","Transport: Subway","Transport","Subway","POS DEB 1755 10/26/12 00962599",$10.00,$0.00,C,$2203.38
"Shared Account",,,10/29/2012,"SOU MTA VENDING","Transport: Subway","Transport","Subway","POS DEB 1606 10/28/12 00931388",$20.00,$0.00,C,$2183.38
"Shared Account",,,10/29/2012,"KEY FOODS #1370","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses","DBT CRD 0832 10/27/12 00017954",$21.95,$0.00,C,$2161.43
"Shared Account",,,10/29/2012,"KEY FOODS #1370","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses","POS DEB 1908 10/28/12 00105097",$81.75,$0.00,C,$2079.68
"Shared Account",,,10/29/2012,"KEY FOODS #1370","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses","POS DEB 1746 10/28/12 00105073",$94.85,$0.00,C,$1984.83
"Chase Credit Card",,,06/08/2012,"Starting Balance","Stuff: Electronics","Stuff","Electronics",,$227.40,$0.00,R,-$227.40
"Chase Credit Card",,,06/09/2012,"Audio wire","Stuff: Electronics","Stuff","Electronics",,$11.99,$0.00,R,-$239.39
"Chase Credit Card",,,06/09/2012,"Socks","Stuff: Clothing","Stuff","Clothing",,$30.00,$0.00,R,-$269.39
"Chase Credit Card",,,06/11/2012,"Meetup, how agile teams collaborate","Joy: Education","Joy","Education",,$5.00,$0.00,R,-$274.39
"Chase Credit Card",,,06/13/2012,"Contraceptives","House & Upkeep: Pharmacy","House & Upkeep","Pharmacy",,$12.80,$0.00,R,-$287.19
"Chase Credit Card",,,06/17/2012,"amazon","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses",,$9.45,$0.00,R,-$296.64
"Chase Credit Card",,,06/18/2012,"Transfer : Checking Account",,,,,$0.00,$339.30,R,$42.66
"Chase Credit Card",,,06/18/2012,"amazon","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses",,$8.69,$0.00,R,$33.97
"Chase Credit Card",,,06/18/2012,,"House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses","roach poison",$18.14,$0.00,R,$15.83
"Chase Credit Card",,,06/18/2012,,"Stuff: Other","Stuff","Other","metal message board",$33.97,$0.00,R,-$18.14
"Chase Credit Card",,,06/21/2012,"amazon","Joy: His","Joy","His",,$0.99,$0.00,R,-$19.13
"Chase Credit Card",,,06/28/2012,"music Juliette Daum","Joy: His","Joy","His",,$8.99,$0.00,R,-$28.12
"Chase Credit Card",,,07/01/2012,,"Joy: His","Joy","His","Nans and Nat's album",$8.99,$0.00,R,-$37.11
"Chase Credit Card",,,07/03/2012,"amazon","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services",,$4.00,$0.00,R,-$41.11
"Chase Credit Card",,,07/09/2012,"frames for Danny","Generosity: Spontanous Gifts","Generosity","Spontanous Gifts",,$25.03,$0.00,R,-$66.14
"Chase Credit Card",,N/A,07/18/2012,"AMAZON MKTPLACE PMTS","Joy: His","Joy","His",,$4.64,$0.00,R,-$70.78
"Chase Credit Card",,N/A,07/26/2012,"Amazon.com","Transport: Bicycle","Transport","Bicycle","repair book",$17.93,$0.00,R,-$88.71
"Chase Credit Card",,N/A,07/29/2012,"Amazon.com","Transport: Bicycle","Transport","Bicycle","white lighting lubrican",$9.47,$0.00,R,-$98.18
"Chase Credit Card",,N/A,07/29/2012,"AMAZON MKTPLACE PMTS","Stuff: Other","Stuff","Other","lighter",$11.51,$0.00,R,-$109.69
"Chase Credit Card",,N/A,07/31/2012,"Amazon.com","House & Upkeep: Consumables","House & Upkeep","Consumables","Lint roll",$7.75,$0.00,R,-$117.44
"Chase Credit Card",,N/A,07/31/2012,"Amazon.com","Stuff: Clothing","Stuff","Clothing","men underwear",$19.00,$0.00,R,-$136.44
"Chase Credit Card",,,08/02/2012,"Transfer : Checking Account",,,,,$0.00,$175.30,R,$38.86
"Chase Credit Card",,,08/03/2012,"Amazon.com","Joy: Wedding","Joy","Wedding","cloves",$57.00,$0.00,R,-$18.14
"Chase Credit Card",,,08/05/2012,"Amazon.com","Stuff: Books","Stuff","Books",,$19.41,$0.00,R,-$37.55
"Chase Credit Card",,,08/08/2012,"AMAZON MKTPLACE PMTS","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services",,$3.50,$0.00,R,-$41.05
"Chase Credit Card",,,08/13/2012,"AMAZON MKTPLACE PMTS","Stuff: Clothing","Stuff","Clothing",,$15.32,$0.00,R,-$56.37
"Chase Credit Card",,,08/15/2012,"Amazon Video On Demand","Joy: His","Joy","His",,$1.99,$0.00,R,-$58.36
"Chase Credit Card",,,08/28/2012,"AMAZON MKTPLACE PMTS","Joy: Wedding","Joy","Wedding","chocolate",$100.40,$0.00,R,-$158.76
"Chase Credit Card",,,09/10/2012,"Transfer : Checking Account",,,,,$0.00,$140.62,R,-$18.14
"Chase Credit Card",,,09/12/2012,"AMAZON MKTPLACE PMTS","Stuff: Electronics","Stuff","Electronics",,$9.98,$0.00,R,-$28.12
"Chase Credit Card",,,09/12/2012,"Amazon.com","Transport: Bicycle","Transport","Bicycle",,$11.11,$0.00,R,-$39.23
"Chase Credit Card",,,09/12/2012,"Amazon.com","Transport: Bicycle","Transport","Bicycle",,$19.22,$0.00,R,-$58.45
"Chase Credit Card",,,09/12/2012,"AMAZON MKTPLACE PMTS","Stuff: Electronics","Stuff","Electronics",,$19.99,$0.00,R,-$78.44
"Chase Credit Card",,,09/13/2012,"AMAZON MKTPLACE PMTS","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses",,$5.73,$0.00,R,-$84.17
"Chase Credit Card",,,09/20/2012,"AMAZON MKTPLACE PMTS","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses",,$48.99,$0.00,R,-$133.16
"Chase Credit Card",,,09/21/2012,"Transfer : Checking Account",,,,,$0.00,$66.03,R,-$67.13
